"time","17","17","17"
"time","16","16","16"
"time","17","17","17"
"time","18","18","18"
"time","19","19","19"
"time","20","20","20"
"time","2" ,"2" ,"2"
"time","3" ,"3" ,"3"
"time","4" ,"4" ,"4"
"time","5" ,"5" ,"5"
"time","6" ,"6" ,"6"
"time","7" ,"7" ,"7"
"time","8" ,"8" ,"8"
"time","9" ,"9" ,"9"
"time","2" ,"2" ,"2"
"time","3" ,"3" ,"3"
"time","4" ,"4" ,"4"
"time","5" ,"5" ,"5"
"time","6" ,"6" ,"6"
"time","7" ,"7" ,"7"
"time","8" ,"8" ,"8"
"time","9" ,"9" ,"9"
"time","2" ,"2" ,"2"
"time","3" ,"3" ,"3"
"time","4" ,"4" ,"4"
"time","5" ,"5" ,"5"
"time","6" ,"6" ,"6"
"time","7" ,"7" ,"7"
"time","8" ,"8" ,"8"
"time","9" ,"9" ,"9"
"time","17","17","17"
"time","19","19","19"
"time","20","20","20"
